row_id,session_id,user_id,device_type,form_step,field_name,mouse_velocity_px_s,mouse_acceleration_px_s2,hesitation_time_ms,time_on_field_ms,click_count,rage_click,click_error_rate,scroll_jitter_count,correction_count,previous_attempts,cognitive_load_score,ui_action_triggered,session_abandoned
100,SESS00011,USER7711,desktop,2,employment_status,119.56,67.76,202.0,1110.0,1,0,0.182,0,0,0,22.58,no_action,0
101,SESS00011,USER7711,desktop,3,full_name,295.86,158.06,1086.2,2999.0,2,0,0.305,0,0,0,14.07,no_action,0
102,SESS00011,USER7711,desktop,4,loan_amount,238.2,86.78,499.9,1097.9,1,0,0.01,0,0,0,15.27,no_action,0
103,SESS00011,USER7711,desktop,5,date_of_birth,261.69,195.45,494.5,500.0,1,0,0.331,0,0,0,27.39,no_action,0
104,SESS00011,USER7711,desktop,6,signature_confirmation,165.35,29.47,1025.0,4107.9,5,0,0.505,1,0,0,26.21,no_action,0
105,SESS00012,USER8539,tablet,1,city,81.82,89.1,693.2,1806.4,2,0,0.133,0,0,0,11.59,no_action,0
106,SESS00012,USER8539,tablet,2,collateral_details,185.5,62.26,497.0,2283.1,2,0,0.033,0,0,0,23.15,no_action,0
107,SESS00012,USER8539,tablet,3,date_of_birth,380.23,115.91,622.2,4146.2,4,0,0.131,0,0,0,31.9,show_inline_hint,0
108,SESS00012,USER8539,tablet,4,address_line1,226.41,97.61,478.2,3562.2,1,0,0.178,2,3,0,19.68,no_action,0
109,SESS00012,USER8539,tablet,5,loan_purpose,279.59,245.52,696.1,717.7,1,0,0.155,0,1,0,25.66,no_action,0
110,SESS00012,USER8539,tablet,6,tax_id_number,331.28,241.71,693.9,3823.7,3,0,0.52,2,1,0,37.88,show_inline_hint,0
111,SESS00013,USER8984,tablet,1,address_line1,136.58,154.8,542.5,2551.6,1,0,0.225,0,0,0,27.52,no_action,0
112,SESS00013,USER8984,tablet,2,employment_status,321.03,160.53,1093.0,6235.0,4,0,0.613,0,1,0,33.65,show_inline_hint,0
113,SESS00013,USER8984,tablet,3,address_line1,303.45,178.11,1376.5,2318.7,1,0,0.33,1,0,0,43.8,show_inline_hint,0
114,SESS00013,USER8984,tablet,4,employment_status,121.95,189.06,869.5,500.0,3,0,0.453,2,1,1,31.49,show_inline_hint,0
115,SESS00013,USER8984,tablet,5,routing_number,347.96,215.76,1343.7,2732.8,3,0,0.412,6,4,0,34.75,show_inline_hint,0
116,SESS00013,USER8984,tablet,6,address_line1,378.46,155.17,870.8,4867.5,3,0,0.053,1,1,0,23.89,no_action,0
117,SESS00013,USER8984,tablet,7,routing_number,431.01,198.37,750.0,3315.0,3,0,0.286,1,1,2,30.59,show_inline_hint,0
118,SESS00013,USER8984,tablet,8,credit_score_range,226.83,150.29,1871.7,4008.7,2,0,0.829,2,3,0,40.27,show_inline_hint,0
119,SESS00013,USER8984,tablet,8,annual_income,390.97,223.0,1301.2,4671.7,3,0,0.376,3,1,1,41.78,show_inline_hint,0
120,SESS00014,USER2511,desktop,1,full_name,653.51,422.28,2052.3,5864.0,4,0,0.566,2,3,1,66.14,simplify_field,0
121,SESS00014,USER2511,desktop,2,loan_amount,443.2,429.53,736.7,5594.7,5,0,0.118,4,1,1,33.44,show_inline_hint,0
122,SESS00014,USER2511,desktop,3,phone_number,694.5,313.19,2026.6,8249.5,1,0,0.151,4,3,2,60.85,simplify_field,0
123,SESS00014,USER2511,desktop,4,loan_amount,479.48,355.94,1880.8,13004.8,4,0,0.255,6,4,2,53.27,simplify_field,0
124,SESS00014,USER2511,desktop,5,employment_status,675.15,252.05,1616.8,6765.2,3,0,0.406,1,3,1,55.08,simplify_field,0
125,SESS00014,USER2511,desktop,6,employment_status,450.75,549.73,3015.5,2039.1,5,1,0.369,3,2,1,72.84,simplify_field,0
126,SESS00014,USER2511,desktop,7,tax_id_number,730.47,525.24,2180.1,4193.1,2,0,0.568,5,2,1,60.62,simplify_field,0
127,SESS00014,USER2511,desktop,8,routing_number,422.7,265.04,2369.8,7112.1,6,0,0.48,4,3,0,55.05,simplify_field,0
128,SESS00014,USER2511,desktop,8,full_name,471.46,359.57,2437.2,10129.1,8,0,0.744,7,2,1,77.65,trigger_wizard_regeneration,0
129,SESS00014,USER2511,desktop,8,bank_account_number,625.26,256.32,1270.5,8719.4,4,0,0.503,2,3,0,53.55,simplify_field,0
130,SESS00014,USER2511,desktop,8,loan_purpose,339.68,419.48,2664.0,5150.6,5,0,0.588,4,5,4,74.92,simplify_field,0
131,SESS00014,USER2511,desktop,8,loan_amount,897.91,421.0,4216.0,5909.5,4,0,0.413,2,4,3,83.31,trigger_wizard_regeneration,0
132,SESS00014,USER2511,desktop,8,city,192.1,246.62,3499.4,8202.2,3,0,0.652,4,4,2,56.43,simplify_field,0
133,SESS00015,USER8299,desktop,1,email,235.76,125.87,408.1,2503.9,1,0,0.172,1,0,0,21.3,no_action,0
134,SESS00015,USER8299,desktop,2,date_of_birth,352.01,189.99,358.4,4575.2,2,0,0.035,0,0,0,19.03,no_action,0
135,SESS00015,USER8299,desktop,3,employment_status,307.23,264.84,1465.0,2656.0,1,0,0.404,0,1,2,35.82,show_inline_hint,0
136,SESS00015,USER8299,desktop,4,state,362.62,124.67,929.9,4783.4,3,0,0.45,2,0,1,36.79,show_inline_hint,0
137,SESS00015,USER8299,desktop,5,loan_amount,385.23,290.92,970.8,4392.9,1,0,0.111,2,1,1,35.78,show_inline_hint,0
138,SESS00015,USER8299,desktop,6,collateral_details,602.26,282.89,1554.7,2976.9,4,0,0.385,2,2,1,45.13,show_inline_hint,0
139,SESS00015,USER8299,desktop,7,existing_debts,374.39,327.54,581.2,6254.1,2,0,0.265,0,1,0,30.74,show_inline_hint,0
140,SESS00015,USER8299,desktop,8,loan_purpose,199.35,190.91,533.1,3394.8,6,1,0.192,1,0,0,26.03,no_action,0
141,SESS00016,USER1273,desktop,1,credit_score_range,366.65,158.69,243.5,580.1,1,0,0.152,0,0,1,30.31,show_inline_hint,0
142,SESS00016,USER1273,desktop,2,loan_purpose,195.92,183.54,1073.9,4054.7,1,0,0.12,1,1,0,29.46,no_action,0
143,SESS00016,USER1273,desktop,3,tax_id_number,112.4,201.97,593.8,3421.5,1,0,0.1,0,1,0,1.01,no_action,0
144,SESS00016,USER1273,desktop,4,annual_income,151.13,193.81,541.6,2574.3,1,0,0.012,1,1,0,25.58,no_action,0
145,SESS00016,USER1273,desktop,5,date_of_birth,267.11,91.77,244.5,2226.8,1,0,0.14,0,0,0,16.84,no_action,0
146,SESS00016,USER1273,desktop,6,state,484.99,343.85,2810.1,5573.0,5,0,0.224,2,0,0,54.22,simplify_field,0
147,SESS00016,USER1273,desktop,7,employment_status,270.77,193.31,798.1,2215.6,2,0,0.031,0,0,0,12.77,no_action,0
148,SESS00016,USER1273,desktop,8,bank_account_number,525.96,291.42,596.9,3786.7,2,0,0.157,2,1,1,37.9,show_inline_hint,0
149,SESS00016,USER1273,desktop,8,annual_income,200.38,234.18,552.6,3811.9,3,0,0.112,4,2,0,27.68,no_action,0
150,SESS00016,USER1273,desktop,8,full_name,203.16,59.95,627.3,1680.6,3,0,0.358,1,2,2,34.0,show_inline_hint,0
151,SESS00016,USER1273,desktop,8,collateral_details,227.07,14.17,102.5,3136.6,5,1,0.426,1,1,0,32.81,show_inline_hint,0
152,SESS00017,USER2877,mobile,1,signature_confirmation,367.26,218.72,2184.2,8069.5,3,0,0.206,1,2,0,37.75,show_inline_hint,0
153,SESS00017,USER2877,mobile,2,co_applicant_info,482.27,275.47,784.7,2249.7,4,0,0.728,5,2,0,56.82,simplify_field,0
154,SESS00017,USER2877,mobile,3,date_of_birth,639.04,421.86,2056.5,6047.3,3,0,0.446,7,3,0,70.29,simplify_field,0
155,SESS00017,USER2877,mobile,4,employment_status,479.84,270.35,1931.6,5216.3,3,0,0.448,5,3,1,59.91,simplify_field,0
156,SESS00017,USER2877,mobile,5,email,557.67,340.62,2298.8,5556.6,4,0,0.237,0,2,2,54.46,simplify_field,0
157,SESS00017,USER2877,mobile,6,city,778.57,450.2,1316.6,7395.4,2,0,0.479,5,1,0,64.47,simplify_field,0
158,SESS00018,USER4150,desktop,1,bank_account_number,458.09,240.84,2779.4,4123.1,3,0,0.467,3,0,0,51.69,simplify_field,0
159,SESS00018,USER4150,desktop,2,full_name,348.27,254.13,644.0,3907.8,3,0,0.24,3,2,2,42.88,show_inline_hint,0
160,SESS00018,USER4150,desktop,3,annual_income,135.91,324.89,1009.0,2751.4,3,0,0.342,0,0,0,31.76,show_inline_hint,0
161,SESS00018,USER4150,desktop,4,co_applicant_info,294.51,196.37,1170.4,3051.9,1,0,0.133,2,2,0,24.28,no_action,0
162,SESS00018,USER4150,desktop,5,loan_amount,310.68,153.34,1276.2,4047.2,7,0,0.429,3,1,1,36.22,show_inline_hint,0
163,SESS00018,USER4150,desktop,6,routing_number,387.01,205.01,1040.6,4839.2,2,0,0.145,4,0,0,42.25,show_inline_hint,0
164,SESS00018,USER4150,desktop,7,state,391.76,268.0,1006.3,5770.4,4,0,0.6,2,1,2,51.41,simplify_field,0
165,SESS00018,USER4150,desktop,8,signature_confirmation,516.38,265.81,1352.2,4730.9,4,0,0.421,3,1,0,51.45,simplify_field,0
166,SESS00018,USER4150,desktop,8,full_name,229.74,266.1,1191.1,935.3,2,0,0.657,1,3,0,30.88,show_inline_hint,0
167,SESS00018,USER4150,desktop,8,city,165.5,229.08,859.9,2917.9,5,1,0.243,1,3,1,40.41,show_inline_hint,0
168,SESS00018,USER4150,desktop,8,signature_confirmation,633.99,312.4,1679.2,4869.8,6,0,0.245,4,2,1,56.38,simplify_field,0
169,SESS00018,USER4150,desktop,8,annual_income,374.42,150.13,571.0,3353.9,2,0,0.261,3,1,2,30.31,show_inline_hint,0
170,SESS00019,USER5478,mobile,1,city,167.78,60.45,581.3,2323.7,1,0,0.017,0,0,0,9.98,no_action,0
171,SESS00019,USER5478,mobile,2,zip_code,66.49,0.0,97.2,2660.3,4,0,0.395,0,0,0,6.38,no_action,0
172,SESS00019,USER5478,mobile,3,email,239.96,185.55,232.6,721.6,1,0,0.085,0,0,0,21.12,no_action,0
173,SESS00019,USER5478,mobile,4,bank_account_number,120.09,66.66,544.3,1694.8,7,1,0.5,0,1,0,33.02,show_inline_hint,0
174,SESS00019,USER5478,mobile,5,city,215.86,94.14,1319.9,2744.7,1,0,0.454,0,2,0,26.09,no_action,0
175,SESS00019,USER5478,mobile,6,phone_number,132.55,98.19,340.5,814.6,2,0,0.101,0,0,0,11.56,no_action,0
176,SESS00019,USER5478,mobile,7,zip_code,139.03,87.21,255.3,3118.4,2,0,0.086,0,1,0,5.59,no_action,0
177,SESS00019,USER5478,mobile,8,date_of_birth,434.5,239.89,654.5,2645.7,2,0,0.227,0,2,1,34.12,show_inline_hint,0
178,SESS00019,USER5478,mobile,8,address_line1,69.7,57.89,194.7,1571.1,2,0,0.024,1,0,0,4.54,no_action,0
179,SESS00019,USER5478,mobile,8,phone_number,255.66,71.5,524.9,3088.6,2,0,0.266,1,1,1,26.12,no_action,0
180,SESS00019,USER5478,mobile,8,loan_amount,303.74,259.22,715.8,2600.3,3,0,0.273,4,2,0,40.82,show_inline_hint,0
181,SESS00019,USER5478,mobile,8,tax_id_number,384.66,190.48,654.4,3986.9,2,0,0.204,1,2,2,28.41,no_action,0
182,SESS00019,USER5478,mobile,8,routing_number,359.62,249.61,790.4,3928.1,1,0,0.203,0,1,0,25.68,no_action,0
183,SESS00020,USER4041,tablet,1,employment_status,373.06,125.82,1042.8,3383.0,1,0,0.597,3,2,0,49.78,show_inline_hint,0
184,SESS00020,USER4041,tablet,2,date_of_birth,216.73,256.17,935.0,2048.8,1,0,0.212,1,2,0,21.71,no_action,0
185,SESS00020,USER4041,tablet,3,tax_id_number,500.46,309.97,1421.5,3214.7,2,0,0.484,2,1,0,45.29,show_inline_hint,0
186,SESS00020,USER4041,tablet,4,routing_number,561.12,381.88,1950.5,3151.0,7,1,0.314,4,3,0,70.13,simplify_field,0
187,SESS00020,USER4041,tablet,5,annual_income,424.79,545.84,2313.2,13725.6,3,0,0.547,2,0,1,61.22,simplify_field,0
188,SESS00020,USER4041,tablet,6,tax_id_number,428.51,209.51,1115.8,3712.5,5,1,0.296,3,3,1,48.34,show_inline_hint,0
189,SESS00021,USER8023,desktop,1,email,361.5,153.83,517.1,3744.4,1,0,0.101,1,1,0,21.48,no_action,0
190,SESS00021,USER8023,desktop,2,date_of_birth,256.93,100.75,510.5,1976.4,2,0,0.132,1,0,0,21.69,no_action,0
191,SESS00021,USER8023,desktop,3,credit_score_range,210.04,138.54,575.8,2615.7,1,0,0.105,0,0,0,14.83,no_action,0
192,SESS00021,USER8023,desktop,4,credit_score_range,285.37,41.59,1290.7,1433.9,2,0,0.136,1,0,1,20.98,no_action,0
193,SESS00021,USER8023,desktop,5,credit_score_range,203.96,125.1,385.4,1047.1,1,0,0.029,0,1,0,17.41,no_action,0
194,SESS00021,USER8023,desktop,6,full_name,33.21,161.96,621.4,2293.0,1,0,0.041,1,0,0,10.3,no_action,0
195,SESS00021,USER8023,desktop,7,credit_score_range,367.43,157.16,1414.7,3352.5,3,0,0.455,2,0,2,35.35,show_inline_hint,0
196,SESS00021,USER8023,desktop,8,address_line1,309.56,317.14,928.7,4433.9,2,0,0.362,0,3,0,41.09,show_inline_hint,0
197,SESS00021,USER8023,desktop,8,full_name,337.43,186.07,415.1,3138.3,2,0,0.32,0,2,0,29.95,no_action,0
198,SESS00021,USER8023,desktop,8,credit_score_range,244.27,268.75,915.0,5493.3,1,0,0.627,3,1,1,39.15,show_inline_hint,0
199,SESS00022,USER9840,desktop,1,co_applicant_info,210.23,74.09,934.8,3491.3,1,0,0.302,1,1,0,23.35,no_action,0
200,SESS00022,USER9840,desktop,2,date_of_birth,185.07,226.39,897.1,6486.4,2,0,0.381,2,0,1,24.69,no_action,0
201,SESS00022,USER9840,desktop,3,date_of_birth,124.95,143.32,441.3,2298.9,2,0,0.346,0,1,0,21.57,no_action,0
